lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
CC Synch,0,0,12198976,327276,330.315,10
CC Synch,1,1,36646456,328022,989.666,10
CC Synch,2,2,12107778,328310,331.544,10
CC Synch,3,3,36449707,328266,990.338,10
CC Synch,4,4,12043015,329734,332.975,10
CC Synch,5,5,36484880,327692,988.696,10
CC Synch,6,6,12079214,329542,332.704,10
CC Synch,7,7,36565722,327306,987.505,10
CC Synch,8,8,12197259,327294,330.458,10
CC Synch,9,9,36777756,329198,993.275,10
CC Synch,10,10,11969395,328562,331.719,10
CC Synch,11,11,36676263,330685,997.757,10
CC Synch,12,12,12112794,328063,331.417,10
CC Synch,13,13,35910034,323140,974.814,10
CC Synch,14,14,12123983,330053,333.156,10
CC Synch,15,15,36697417,328452,991.117,10
