lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
CC Synch,0,0,2500302,67099,67.605,2
CC Synch,1,1,7143776,64444,194.137,2
CC Synch,2,2,2367206,64904,65.417,2
CC Synch,3,3,7144957,64738,195.026,2
CC Synch,4,4,2396886,64398,64.925,2
CC Synch,5,5,7486559,66984,201.866,2
CC Synch,6,6,2416082,64947,65.449,2
CC Synch,7,7,7609796,68183,205.491,2
CC Synch,8,8,2400992,64469,64.971,2
CC Synch,9,9,7256481,65345,196.818,2
CC Synch,10,10,2475753,67625,68.163,2
CC Synch,11,11,7148380,64254,193.582,2
CC Synch,12,12,2398090,64451,64.949,2
CC Synch,13,13,7268099,65070,196.062,2
CC Synch,14,14,2421032,65068,65.545,2
CC Synch,15,15,7607557,68193,205.445,2
