lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining (fair),0,0,3063540,83281,83.901,2
Flat Combining (fair),1,1,4576262,41485,124.916,2
Flat Combining (fair),2,2,3088662,85908,86.582,2
Flat Combining (fair),3,3,4569394,41383,124.684,2
Flat Combining (fair),4,4,3109453,84785,85.439,2
Flat Combining (fair),5,5,4566633,41428,124.792,2
Flat Combining (fair),6,6,3150162,85625,86.284,2
Flat Combining (fair),7,7,4629217,41709,125.660,2
Flat Combining (fair),8,8,3042092,82644,83.296,2
Flat Combining (fair),9,9,4564110,41460,124.884,2
Flat Combining (fair),10,10,3019452,84960,85.629,2
Flat Combining (fair),11,11,4575588,41326,124.490,2
Flat Combining (fair),12,12,3119590,84739,85.417,2
Flat Combining (fair),13,13,4574669,41145,123.948,2
Flat Combining (fair),14,14,3047527,82215,82.878,2
Flat Combining (fair),15,15,4393278,41290,124.273,2
