lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining (fair),0,0,3077330,85154,85.848,2
Flat Combining (fair),1,1,4261532,39157,117.904,2
Flat Combining (fair),2,2,3124536,89401,90.122,2
Flat Combining (fair),3,3,4267824,39143,117.892,2
Flat Combining (fair),4,4,3159916,88900,89.596,2
Flat Combining (fair),5,5,4292325,39143,117.899,2
Flat Combining (fair),6,6,3164437,88221,88.979,2
Flat Combining (fair),7,7,4325119,39333,118.487,2
Flat Combining (fair),8,8,2743693,77211,77.808,2
Flat Combining (fair),9,9,4207197,38659,116.414,2
Flat Combining (fair),10,10,2920416,86295,86.953,2
Flat Combining (fair),11,11,4237343,38765,116.750,2
Flat Combining (fair),12,12,2975268,85832,86.565,2
Flat Combining (fair),13,13,4240242,38610,116.280,2
Flat Combining (fair),14,14,3046624,86467,87.229,2
Flat Combining (fair),15,15,4289962,39189,117.997,2
