lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining (fair, priority queue),0,0,910632,28278,28.539,2
Flat Combining (fair, priority queue),1,1,2899684,28217,84.932,2
Flat Combining (fair, priority queue),2,2,926780,28206,28.483,2
Flat Combining (fair, priority queue),3,3,2916018,28201,84.869,2
Flat Combining (fair, priority queue),4,4,953797,27752,28.035,2
Flat Combining (fair, priority queue),5,5,2928865,28195,84.847,2
Flat Combining (fair, priority queue),6,6,972501,28193,28.493,2
Flat Combining (fair, priority queue),7,7,2882331,28169,84.766,2
Flat Combining (fair, priority queue),8,8,896753,28189,28.463,2
Flat Combining (fair, priority queue),9,9,2930422,28144,84.686,2
Flat Combining (fair, priority queue),10,10,915219,28185,28.459,2
Flat Combining (fair, priority queue),11,11,2900522,28186,84.834,2
Flat Combining (fair, priority queue),12,12,952540,28184,28.487,2
Flat Combining (fair, priority queue),13,13,2926367,28184,84.818,2
Flat Combining (fair, priority queue),14,14,943633,27794,28.076,2
Flat Combining (fair, priority queue),15,15,2859835,28181,84.820,2
Flat Combining (fair, priority queue),16,16,839865,25700,25.933,2
Flat Combining (fair, priority queue),17,17,2933181,28181,84.827,2
Flat Combining (fair, priority queue),18,18,934645,28168,28.455,2
Flat Combining (fair, priority queue),19,19,2913202,28177,84.805,2
Flat Combining (fair, priority queue),20,20,961734,28176,28.457,2
Flat Combining (fair, priority queue),21,21,2930159,28176,84.797,2
Flat Combining (fair, priority queue),22,22,970727,28173,28.462,2
Flat Combining (fair, priority queue),23,23,2876937,28174,84.795,2
Flat Combining (fair, priority queue),24,24,914388,28174,28.426,2
Flat Combining (fair, priority queue),25,25,2934691,28156,84.720,2
Flat Combining (fair, priority queue),26,26,921313,28172,28.453,2
Flat Combining (fair, priority queue),27,27,2913241,28173,84.791,2
Flat Combining (fair, priority queue),28,28,957323,28157,28.445,2
Flat Combining (fair, priority queue),29,29,2896283,28171,84.799,2
Flat Combining (fair, priority queue),30,30,476535,14209,14.366,2
Flat Combining (fair, priority queue),31,31,2861210,28161,84.756,2
