lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining,0,0,2933887,83234,84.107,5
Flat Combining,1,1,8960823,82824,250.045,5
Flat Combining,2,2,2245634,83275,84.420,5
Flat Combining,3,3,8259363,83287,251.208,5
Flat Combining,4,4,2273167,83279,84.276,5
Flat Combining,5,5,8351353,83272,251.474,5
Flat Combining,6,6,2349251,83270,84.179,5
Flat Combining,7,7,9026536,83266,251.407,5
Flat Combining,8,8,3006270,83264,84.202,5
Flat Combining,9,9,9035383,83214,251.140,5
Flat Combining,10,10,2359103,83245,84.128,5
Flat Combining,11,11,8359697,83253,251.093,5
Flat Combining,12,12,2337002,83220,84.170,5
Flat Combining,13,13,8400156,83247,251.089,5
Flat Combining,14,14,2386115,83244,84.077,5
Flat Combining,15,15,9023533,83228,251.276,5
Flat Combining,16,16,2934145,83239,84.247,5
Flat Combining,17,17,9012249,83209,250.796,5
Flat Combining,18,18,2815440,82490,83.437,5
Flat Combining,19,19,8318196,83226,251.037,5
Flat Combining,20,20,2303499,82978,83.913,5
Flat Combining,21,21,8348653,83228,250.823,5
Flat Combining,22,22,2345988,83226,84.123,5
Flat Combining,23,23,9022239,83224,251.135,5
Flat Combining,24,24,2979397,83045,84.113,5
Flat Combining,25,25,8977801,82858,249.942,5
Flat Combining,26,26,2372758,83217,84.199,5
Flat Combining,27,27,8321342,83101,250.517,5
Flat Combining,28,28,3016154,83213,84.247,5
Flat Combining,29,29,8998450,83212,250.747,5
Flat Combining,30,30,3009806,83091,84.327,5
Flat Combining,31,31,9022970,83201,251.140,5
