lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Mutex,0,0,0,0,0.000,2
Mutex,1,1,0,0,0.000,2
Mutex,2,2,0,0,0.000,2
Mutex,3,3,0,0,0.000,2
Mutex,4,4,0,0,0.000,2
Mutex,5,5,0,0,0.000,2
Mutex,6,6,0,0,0.000,2
Mutex,7,7,0,0,0.000,2
Mutex,8,8,0,0,0.000,2
Mutex,9,9,0,0,0.000,2
Mutex,10,10,0,0,0.000,2
Mutex,11,11,0,0,0.000,2
Mutex,12,12,0,0,0.000,2
Mutex,13,13,0,0,0.000,2
Mutex,14,14,0,0,0.000,2
Mutex,15,15,0,0,0.000,2
Mutex,16,16,0,0,0.000,2
Mutex,17,17,0,0,0.000,2
Mutex,18,18,0,0,0.000,2
Mutex,19,19,0,0,0.000,2
Mutex,20,20,0,0,0.000,2
Mutex,21,21,0,0,0.000,2
Mutex,22,22,0,0,0.000,2
Mutex,23,23,0,0,0.000,2
Mutex,24,24,0,0,0.000,2
Mutex,25,25,0,0,0.000,2
Mutex,26,26,0,0,0.000,2
Mutex,27,27,0,0,0.000,2
Mutex,28,28,0,0,0.000,2
Mutex,29,29,0,0,0.000,2
Mutex,30,30,0,0,0.000,2
Mutex,31,31,0,0,0.000,2
