lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Remote Core Locking,0,0,1200675,34635,35.180,2
Remote Core Locking,1,1,3541608,34601,104.331,2
Remote Core Locking,2,2,1178150,34576,34.945,2
Remote Core Locking,3,3,3567963,34580,104.335,2
Remote Core Locking,4,4,1189413,34570,35.050,2
Remote Core Locking,5,5,3566685,34565,104.288,2
Remote Core Locking,6,6,1198728,34561,35.373,2
Remote Core Locking,7,7,3565851,34554,104.219,2
Remote Core Locking,8,8,1197620,34553,34.993,2
Remote Core Locking,9,9,3558768,34519,104.136,2
Remote Core Locking,10,10,1193677,34546,35.023,2
Remote Core Locking,11,11,3555266,34454,103.916,2
Remote Core Locking,12,12,1194764,34453,34.943,2
Remote Core Locking,13,13,3563194,34537,104.186,2
Remote Core Locking,14,14,1198134,34534,34.966,2
Remote Core Locking,15,15,3564693,34527,104.146,2
Remote Core Locking,16,16,1199848,34528,35.007,2
Remote Core Locking,17,17,3560207,34526,104.064,2
Remote Core Locking,18,18,1188147,34255,34.717,2
Remote Core Locking,19,19,3550323,34409,103.730,2
Remote Core Locking,20,20,1197491,34517,34.977,2
Remote Core Locking,21,21,3560839,34515,104.110,2
Remote Core Locking,22,22,1197102,34513,34.960,2
Remote Core Locking,23,23,3559618,34512,104.093,2
Remote Core Locking,24,24,1196293,34510,34.974,2
Remote Core Locking,25,25,3555655,34501,104.219,2
Remote Core Locking,26,26,1191788,34506,35.026,2
Remote Core Locking,27,27,3559639,34504,104.153,2
Remote Core Locking,28,28,1192289,34501,34.938,2
Remote Core Locking,29,29,3549312,34503,104.215,2
Remote Core Locking,30,30,1194372,34455,34.943,2
Remote Core Locking,31,0,3551556,34429,104.008,2
