lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Remote Core Locking,0,0,2981434,85859,86.898,5
Remote Core Locking,1,1,8775566,85816,259.102,5
Remote Core Locking,2,2,2853610,84967,85.933,5
Remote Core Locking,3,3,8873161,85798,258.972,5
Remote Core Locking,4,4,2932080,85791,86.823,5
Remote Core Locking,5,5,8870769,85777,259.787,5
Remote Core Locking,6,6,2980455,85784,86.951,5
Remote Core Locking,7,7,8844197,85549,258.184,5
Remote Core Locking,8,8,2898180,85772,86.890,5
Remote Core Locking,9,9,8866316,85771,270.445,5
Remote Core Locking,10,10,2978374,85768,86.857,5
Remote Core Locking,11,11,8865725,85724,258.467,5
Remote Core Locking,12,12,2978448,85652,86.806,5
Remote Core Locking,13,13,8866674,85757,258.427,5
Remote Core Locking,14,14,2981970,85762,86.922,5
Remote Core Locking,15,15,8860885,85684,258.599,5
Remote Core Locking,16,16,2975045,85756,86.837,5
Remote Core Locking,17,17,8864311,85753,258.798,5
Remote Core Locking,18,18,2981202,85751,86.856,5
Remote Core Locking,19,19,8864040,85750,258.959,5
Remote Core Locking,20,20,2979695,85748,86.874,5
Remote Core Locking,21,21,8864267,85741,259.064,5
Remote Core Locking,22,22,2981469,85744,86.870,5
Remote Core Locking,23,23,8861006,85718,258.876,5
Remote Core Locking,24,24,2922473,85739,86.872,5
Remote Core Locking,25,25,8865092,85738,259.056,5
Remote Core Locking,26,26,2971109,85687,99.693,5
Remote Core Locking,27,27,8850394,85602,258.303,5
Remote Core Locking,28,28,2981498,85734,86.857,5
Remote Core Locking,29,29,8865436,85733,271.128,5
Remote Core Locking,30,30,2958257,85096,86.170,5
Remote Core Locking,31,0,8860045,85659,258.482,5
