lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Spin Lock,0,0,638303,17311,17.546,2
Spin Lock,1,1,667804,6027,18.125,2
Spin Lock,2,2,239278,6483,6.572,2
Spin Lock,3,3,23937555,215895,649.797,2
Spin Lock,4,4,9763451,264292,267.881,2
Spin Lock,5,5,6507928,58704,176.426,2
Spin Lock,6,6,2765411,74801,75.843,2
Spin Lock,7,7,1917135,17284,51.957,2
Spin Lock,8,8,2765977,74818,75.923,2
Spin Lock,9,9,1802796,16258,48.883,2
Spin Lock,10,10,595412,16256,16.451,2
Spin Lock,11,11,667368,6017,18.086,2
Spin Lock,12,12,7975736,215857,218.998,2
Spin Lock,13,13,718019,6480,19.477,2
Spin Lock,14,14,9763551,264287,268.086,2
Spin Lock,15,15,6507994,58707,176.460,2
