lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Ticket Lock,0,0,1779079,57453,57.814,2
Ticket Lock,1,1,6027230,57409,172.478,2
Ticket Lock,2,2,1806794,57404,58.105,2
Ticket Lock,3,3,6064010,57401,172.950,2
Ticket Lock,4,4,2120523,57397,58.140,2
Ticket Lock,5,5,6367177,57394,172.402,2
Ticket Lock,6,6,1760900,57392,58.139,2
Ticket Lock,7,7,6031485,57391,172.673,2
Ticket Lock,8,8,1774642,57390,58.184,2
Ticket Lock,9,9,6022817,57388,172.556,2
Ticket Lock,10,10,1754406,57388,58.077,2
Ticket Lock,11,11,6077763,57386,172.265,2
Ticket Lock,12,12,1777202,57385,57.473,2
Ticket Lock,13,13,6018840,57385,172.738,2
Ticket Lock,14,14,1835336,57384,57.790,2
Ticket Lock,15,15,6096164,57384,172.573,2
