lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining,0,0,43234064,2338,2338.180,120
Flat Combining,1,1,130030351,2340,7020.184,120
Flat Combining,2,2,43218323,2340,2340.178,120
Flat Combining,3,3,130073560,2340,7020.185,120
Flat Combining,4,4,43235466,2340,2340.186,120
Flat Combining,5,5,130038967,2340,7020.179,120
Flat Combining,6,6,43195987,2340,2340.180,120
Flat Combining,7,7,130046501,2340,7020.194,120
Flat Combining,8,8,43180172,2340,2340.215,120
Flat Combining,9,9,129969837,2340,7020.179,120
Flat Combining,10,10,43206953,2340,2340.798,120
Flat Combining,11,11,130113023,2340,7020.177,120
Flat Combining,12,12,43169540,2340,2340.186,120
Flat Combining,13,13,129983864,2340,7020.185,120
Flat Combining,14,14,43198980,2340,2340.185,120
Flat Combining,15,15,129934499,2340,7020.180,120
Flat Combining,16,16,43225989,2340,2340.177,120
Flat Combining,17,17,130064547,2340,7020.179,120
Flat Combining,18,18,43203839,2340,2340.181,120
Flat Combining,19,19,130000767,2340,7020.180,120
Flat Combining,20,20,43234923,2340,2340.171,120
Flat Combining,21,21,130046951,2340,7020.176,120
Flat Combining,22,22,43211934,2339,2339.179,120
Flat Combining,23,23,129893524,2339,7017.184,120
Flat Combining,24,24,43231359,2340,2340.474,120
Flat Combining,25,25,130030002,2340,7020.182,120
Flat Combining,26,26,43227653,2340,2340.184,120
Flat Combining,27,27,130087822,2340,7020.179,120
Flat Combining,28,28,43268903,2340,2340.333,120
Flat Combining,29,29,129966323,2340,7020.181,120
Flat Combining,30,30,43160170,2340,2340.189,120
Flat Combining,31,31,129783433,2336,7008.184,120
