lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Remote Core Locking,0,0,79541909,2321,2321.025,120
Remote Core Locking,1,1,238470552,2321,7036.134,120
Remote Core Locking,2,2,79551875,2321,2321.024,120
Remote Core Locking,3,3,238441534,2321,7015.406,120
Remote Core Locking,4,4,79560758,2321,2321.021,120
Remote Core Locking,5,5,238230932,2321,7028.536,120
Remote Core Locking,6,6,79542334,2321,2370.086,120
Remote Core Locking,7,7,238395083,2321,7013.065,120
Remote Core Locking,8,8,79562466,2321,2321.026,120
Remote Core Locking,9,9,238455628,2321,6994.601,120
Remote Core Locking,10,10,79547780,2321,2335.699,120
Remote Core Locking,11,11,238423724,2321,7042.322,120
Remote Core Locking,12,12,79558041,2321,2321.027,120
Remote Core Locking,13,13,238453204,2321,7040.690,120
Remote Core Locking,14,14,79540992,2321,2330.008,120
Remote Core Locking,15,15,238462567,2321,7030.050,120
Remote Core Locking,16,16,79571272,2321,2330.999,120
Remote Core Locking,17,17,238576180,2321,6998.369,120
Remote Core Locking,18,18,79569612,2321,2321.021,120
Remote Core Locking,19,19,238155610,2321,7042.669,120
Remote Core Locking,20,20,79552957,2321,2335.574,120
Remote Core Locking,21,21,238292520,2321,7030.083,120
Remote Core Locking,22,22,79568452,2321,2321.021,120
Remote Core Locking,23,23,238406054,2321,7067.333,120
Remote Core Locking,24,24,79578545,2321,2321.022,120
Remote Core Locking,25,25,238146262,2321,7057.490,120
Remote Core Locking,26,26,79562109,2321,2334.963,120
Remote Core Locking,27,27,238320496,2321,7020.750,120
Remote Core Locking,28,28,79539798,2321,2334.913,120
Remote Core Locking,29,29,238164447,2321,7051.565,120
Remote Core Locking,30,30,79499833,2320,2343.511,120
Remote Core Locking,31,0,238402187,2320,7009.141,120
